,,Doubtful to start construction,,,,,,
,,,,,,,,
Sales Start - Past 5Years,,,,,,,,
"November 1, 2019 - November 1, 2024",,,,,,,,
,,,,,,,,
SURREY CONCRETE - ACTIVE,,,,,,,,
Project Name,Developer,Address,Total Units,Units Sold,Standing units,Sales Start,Completion,Q4 notes
The Manhattan,ML Emporio,10284 133A Street,422,50,372,05-Oct-24,01-Oct-29,Pre-Construction
Parkway 2 - Intersect,Bosa,10460 City Parkway,396,150,246,08-Apr-24,31-Dec-28,Lot cleared
Juno,Streetside,13868 104 Avenue,341,267,74,12-Feb-24,30-Jun-28,Excavating
Sequoia,ML Emporio,13282 104 Avenue,386,378,8,29-Apr-23,31-Mar-27,Excavating
Georgetown Two,Anthem,13738 Central Avenue,355,269,86,28-Sep-22,01-Mar-26,Under Construction
Century City Holland Park - Park Tower 1,Century Group,9873 King George Blvd,409,345,64,20-May-22,01-Sep-25,Framing
Parkway 1 - Aspect,Bosa,13550 105 Ave,363,318,45,11-Feb-22,31-Dec-26,Framing
Georgetown Three,Anthem,10244 Whalley Boulevard,455,0,455,01-Jul-25,01-Dec-29,Pre-Construction
Civic District,Wesgroup,10355 King George Boulevard,721,0,721,01-Apr-26,01-Sep-30,Pre-Construction
,,,,,,,,
SURREY CONCRETE - SOLD OUT,,,,,,,,
Project Name,Developer,Address,Total Units,Units Sold,Standing units,Sales Start,Completion,Q4 notes
Flamingo One,Tien Sher Group,13665 107A ave,375,375,0,17-Nov-21,31-Dec-25,Framing
Melrose,ML Emporio,10335 133 St,221,221,0,21-Sep-21,30-Jun-24,Completed
Lucent,Landa Global,13525 106 Ave,404,404,0,04-Feb-23,31-Dec-26,Excavation
Ascent,Maple Leafs Homes,10428 Whalley Boulevard,234,234,0,26-Apr-21,30-Nov-24,Interior Finishing
Belvedere,Square Nine Developments,9675 King George Boulevard,275,275,0,15-Mar-21,31-Oct-24,Interior Finishing
The Grand on King George,Allure Ventures,10731 King George Blvd,341,341,0,24-Jul-21,31-May-25,Framing Complete
The Holland Two,Townline,13333 Old Yale Rd,308,308,0,30-Oct-21,31-Dec-24,Framing
King George Hub (Tower 3) - Plaza One,PCI,13639 George Jct,438,438,0,20-Nov-20,31-Dec-22,Completed
King George Hub (Tower 4) - Plaza Two,PCI,9808 King George Boulevard,438,438,0,22-May-21,01-Jan-25,Framing
Parc Centrale,Dava Developments,10626 CITY PARKWAY,171,171,0,26-Jul-21,31-Oct-23,Completed
,,,,,,,,
,,,,,,,,
Surrey Concrete Completions,,,,,,,,
"November 1, 2019 - November 1, 2024",,,,,,,,
Total Projects,12,,,,,,,
Total Units,"4,174",,,,,,,
,,,,,,,,
"November 1, 2024 - November 1, 2029",,,,,,,,
Total Projects,13,,,,,,,
Total Units,"4,772",,,,,,,
